code,companyname,macd_line,signal_line,macd_line_prev,signal_line_prev,date,histogram,adjustmentclose
17660,東建コーポレーション,122.92416754325859,19.135676571960644,-50.32408091359139,-6.811446170863841,2024-06-14,103.78849097129795,12100.0
63670,ダイキン工業,-57.78977109738844,-87.76327326425881,-121.06465425475108,-95.2566488059764,2024-06-14,29.973502166870375,23300.0
49220,コーセー,255.85204693432934,230.25634071423787,206.7245681329914,223.85741415921495,2024-06-14,25.595706220091472,11220.0
49210,ファンケル,27.243353316951243,2.8010316631646868,-16.733530564183184,-3.309548750281953,2024-06-14,24.442321653786557,2284.5
26070,不二製油グループ本社,54.06898243621481,35.438052999096676,29.06321947051447,30.780320639817138,2024-06-14,18.630929437118134,2760.0
16630,Ｋ＆Ｏエナジーグループ,93.42128520003234,76.51629103727991,70.71317162401056,72.29004249659181,2024-06-14,16.90499416275243,4155.0
67870,メイコー,216.02580693970322,199.74812009739458,195.60343715347517,195.6786983868174,2024-06-14,16.27768684230864,7570.0
23250,ＮＪＳ,87.80367313386023,74.01449517712192,70.43794904946117,70.56720068793734,2024-06-14,13.789177956738314,3890.0
31060,倉敷紡績,100.23489373916254,88.4996056986218,77.04219656200894,85.56578368848662,2024-06-14,11.735288040540738,4850.0
48120,電通総研,10.070565772251939,-0.529868730559123,-8.546245754643678,-3.1799773562618885,2024-06-14,10.600434502811062,5360.0
54100,合同製鐵,-23.057908643931114,-32.90709334644566,-38.75708638838023,-35.3693895220743,2024-06-14,9.849184702514549,5270.0
82790,ヤオコー,102.11643443372122,92.3651454790275,73.79841748268518,89.92732324035406,2024-06-14,9.75128895469372,9438.0
73810,北國フィナンシャルホールディングス,18.055732596492817,8.724973339271987,0.9678715998879852,6.392283524966779,2024-06-14,9.33075925722083,5300.0
62840,日精エー・エス・ビー機械,-16.427658860405245,-25.181039273401716,-32.86198271889316,-27.369384376650828,2024-06-14,8.75338041299647,5110.0
66380,ミマキエンジニアリング,107.53239940060507,99.15307064337068,95.25659884487777,97.05823845406208,2024-06-14,8.37932875723439,2165.0
95330,東邦瓦斯,28.40826900910588,20.102388720422763,17.179357207772682,18.02591864825198,2024-06-14,8.305880288683117,4072.0
72420,カヤバ,31.007178014697274,22.79919859890462,18.04077219469673,20.747203744956458,2024-06-14,8.207979415792654,5460.0
77440,ノーリツ鋼機,133.49695165880257,125.76358472523937,107.2907889218568,123.83024299184856,2024-06-14,7.733366933563204,4660.0
67230,ルネサスエレクトロニクス,64.39770694261688,56.702418730994566,51.3022676592891,54.77859667808898,2024-06-14,7.695288211622312,3166.0
34310,宮地エンジニアリンググループ,56.385397910732536,48.71381053069566,37.482594335949216,46.79591368568644,2024-06-14,7.6715873800368755,4750.0
62370,イワキ,30.003836370470708,22.782061679435824,15.395736011778354,20.976618006677104,2024-06-14,7.221774691034884,2628.0
49670,小林製薬,1.5864762622686612,-5.387938774251879,-8.747292753655529,-7.131542533382013,2024-06-14,6.97441503652054,5611.0
48860,あすか製薬ホールディングス,12.754613098576556,5.88261618510564,2.442649941236141,4.164616956737911,2024-06-14,6.871996913470916,2399.0
24290,ワールドホールディングス,-27.877952943949822,-34.3963130480428,-37.607355774861844,-36.025903074066036,2024-06-14,6.518360104092977,2154.0
39210,ネオジャパン,-1.9888156874212655,-8.257576832182254,-14.402991716727684,-9.8247671183725,2024-06-14,6.268761144760989,1498.0
88030,平和不動産,-16.593512064142487,-22.511109417306805,-24.325935405840937,-23.990508755597883,2024-06-14,5.917597353164318,3825.0
76110,ハイデイ日高,43.59440253230014,37.858655919322885,31.271992117555328,36.42471926607857,2024-06-14,5.735746612977252,3155.0
31560,レスター,26.910560247354624,21.40285862665362,18.841542205267615,20.02593322147837,2024-06-14,5.5077016207010026,3115.0
80980,稲畑産業,26.45796418475402,21.259160886497636,18.760648311123077,19.959460061933537,2024-06-14,5.198803298256383,3465.0
62090,リケンＮＰＲ,-30.152526697768735,-35.28033938969042,-38.261020805952285,-36.562292562670834,2024-06-14,5.127812691921683,2673.0
63310,三菱化工機,21.220609478055394,16.245055210970055,10.657647744722453,15.001166644198719,2024-06-14,4.975554267085339,4190.0
63150,ＴＯＷＡ,-148.54664824339852,-153.3831798564582,-158.15079844971842,-154.59231275972311,2024-06-14,4.836531613059691,11460.0
43690,トリケミカル研究所,-69.54007412984629,-74.13722323968159,-76.56520708980179,-75.28651051714041,2024-06-14,4.5971491098353,3970.0
65330,Ｏｒｃｈｅｓｔｒａ　Ｈｏｌｄｉｎｇｓ,39.79678596694566,35.395438398849485,32.34671317388484,34.29510150682544,2024-06-14,4.4013475680961776,1455.0
35430,コメダホールディングス,17.780578239054194,13.489875410726707,10.865111301592151,12.417199703644837,2024-06-14,4.290702828327486,2740.0
40250,多木化学,22.520811345249967,18.23913840934994,9.748998115492213,17.168720175374936,2024-06-14,4.281672935900026,4115.0
48250,ウェザーニューズ,-24.313086220345212,-28.56808283808291,-37.91347934242731,-29.63183199251733,2024-06-14,4.254996617737696,4530.0
52620,日本ヒューム,34.47491389324546,30.25521860189069,26.32854444953091,29.200294779051998,2024-06-14,4.219695291354768,1211.0
62580,平田機工,-87.57820906934285,-91.75022942338822,-102.3009092152879,-92.79323451189956,2024-06-14,4.172020354045372,6670.0
90370,ハマキョウレックス,36.354161113688406,32.49558552290085,26.181317612694784,31.53094162520396,2024-06-14,3.8585755907875523,4190.0
40430,トクヤマ,-13.497815084272588,-17.25888125067103,-20.026018795856544,-18.19914779227064,2024-06-14,3.761066166398443,3009.0
